,raw_Time,raw,rendered_Time,rendered
1587538,11.8201,1605382,10.5012,
1587539,11.8314,1605401,10.7977,
1587540,11.8426,1605427,11.1758,
1587541,11.8538,1605445,11.4181,
1587542,11.865,1605462,11.6321,
1587543,11.8761,1605478,11.8201,
1587544,11.8871,1605495,12.0052,
1587545,11.8981,1605515,12.2035,
1587546,11.9091,1605534,12.3721,
1587547,11.92,1605551,12.5064,
1587548,11.9308,1605575,12.6688,
1587549,11.9416,1605595,12.7798,
1587550,11.9523,1605612,12.8565,
1587551,11.963,1605628,12.9138,
1587552,11.9736,1605645,12.9588,
1587553,11.9842,1605662,12.9874,
1587554,11.9947,1605678,12.9993,
1587555,12.0052,1605695,12.9959,
1587556,12.0156,1605727,12.9448,
1587557,12.026,1605745,12.8906,
1587558,12.0363,1605762,12.8225,
1587559,12.0466,1605778,12.7435,
1587560,12.0568,1605795,12.644,
1587561,12.0669,1605812,12.5284,
1587562,12.077,1605829,12.397,
1587563,12.0871,1605845,12.2589,
1587564,12.0971,1605861,12.107,
1587565,12.107,1605879,11.92,
1587566,12.1169,1605895,11.7395,
1587567,12.1268,1605912,11.5332,
1587568,12.1365,1605929,11.3124,
1587569,12.1463,1605945,11.0914,
1587570,12.156,1605961,10.858,
1587571,12.1656,1605981,10.5491,
1587572,12.1751,1605997,10.2887,
1587573,12.1847,1606019,9.92935,
1587574,12.1941,1606040,9.53232,
1587575,12.2035,1606062,9.11506,
1587576,12.2129,1606079,8.77933,
1587577,12.2222,1606095,8.45317,
1587578,12.2315,1606112,8.09624,
1587579,12.2406,1606129,7.72905,
1587580,12.2498,1606145,7.3745,
1587581,12.2589,1606162,6.98872,
1587582,12.2679,1606178,6.61754,
1587583,12.2769,1606195,6.21502,
1587584,12.2858,1606212,5.80463,
1587585,12.2947,1606229,5.38688,
1587586,12.3035,1606245,4.98746,
1587587,12.3123,1606265,4.48036,
1587588,12.321,1606278,4.14647,
1587589,12.3296,1606295,3.70525,
1587590,12.3383,1606312,3.25933,
1587591,12.3468,1606329,2.80928,
1587592,12.3553,1606345,2.38245,
1587593,12.3637,1606365,1.84519,
1587594,12.3721,1606379,1.46713,
1587595,12.3805,1606395,1.03354,
1587596,12.3887,1606412,0.571586,
1587597,12.397,1606432,0.0272271,
1587598,12.4051,1606450,-0.462763,
1587599,12.4132,1606468,-0.952097,
1587600,12.4213,1606489,-1.52123,
1587601,12.4293,1606496,-1.71034,
1587602,12.4373,1606511,-2.11428,
1587603,12.4452,1606528,-2.56955,
1587604,12.453,1606545,-3.02155,
1587605,12.4608,1606562,-3.46973,
1587606,12.4685,1606578,-3.88753,
1587607,12.4762,1606600,-4.45479,
1587608,12.4838,1606616,-4.86147,
1587609,12.4914,1606634,-5.31244,
1587610,12.4989,1606661,-5.97454,
1587611,12.5064,1606679,-6.40546,
1587612,12.5138,1606698,-6.85043,
1587613,12.5211,1606712,-7.1714,
1587614,12.5284,1606728,-7.53066,
1587615,12.5356,1606750,-8.01075,
1587616,12.5428,1606768,-8.39095,
1587617,12.55,1606784,-8.71891,
1587618,12.557,1606804,-9.11506,
1587619,12.5641,1606814,-9.30717,
1587620,12.571,1606829,-9.58767,
1587621,12.5779,1606846,-9.89411,
1587622,12.5848,1606862,-10.1711,
1587623,12.5916,1606879,-10.4528,
1587624,12.5983,1606896,-10.7213,
1587625,12.605,1606916,-11.0198,
1587626,12.6116,1606932,-11.2447,
1587627,12.6182,1606951,-11.4953,
1587628,12.6247,1606977,-11.8087,
1587629,12.6312,1606996,-12.0156,
1587630,12.6376,1607013,-12.1847,
1587631,12.644,1607029,-12.3296,
1587632,12.6503,1607045,-12.4608,
1587633,12.6565,1607062,-12.5848,
1587634,12.6627,1607083,-12.7159,
1587635,12.6688,1607101,-12.8088,
1587636,12.6749,1607118,-12.8797,
1587637,12.681,1607136,-12.9371,
1587638,12.6869,1607147,-12.9631,
1587639,12.6928,1607162,-12.9874,
1587640,12.6987,1607179,-12.9995,
1587641,12.7045,1607196,-12.9952,
1587642,12.7102,1607213,-12.9743,
1587643,12.7159,1607232,-12.9316,
1587644,12.7216,1607252,-12.8645,
1587645,12.7271,1607269,-12.7897,
1587646,12.7326,1607294,-12.6503,
1587647,12.7381,1607312,-12.5284,
1587648,12.7435,1607329,-12.397,
1587649,12.7489,1607346,-12.2498,
1587650,12.7542,1607362,-12.0971,
1587651,12.7594,1607382,-11.8871,
1587652,12.7646,1607401,-11.6684,
1587653,12.7697,1607418,-11.4569,
1587654,12.7748,1607447,-11.0772,
1587655,12.7798,1607462,-10.843,
1587656,12.7848,1607479,-10.5809,
1587657,12.7897,1607495,-10.3219,
1587658,12.7945,1607512,-10.034,
1587659,12.7993,1607529,-9.73342,
1587660,12.8041,1607550,-9.34511,
1587661,12.8088,1607568,-8.99786,
1587662,12.8134,1607586,-8.63783,
1587663,12.8179,1607607,-8.20231,
1587664,12.8225,1607629,-7.72905,
1587665,12.8269,1607646,-7.35206,
1587666,12.8313,1607663,-6.96575,
1587667,12.8357,1607681,-6.5471,
1587668,12.8399,1607698,-6.14316,
1587669,12.8442,1607713,-5.78026,
1587670,12.8484,1607736,-5.21285,
1587671,12.8525,1607752,-4.81092,
1587672,12.8565,1607773,-4.27527,
1587673,12.8605,1607780,-4.09482,
1587674,12.8645,1607796,-3.67914,
1587675,12.8684,1607813,-3.23297,
1587676,12.8722,1607829,-2.80928,
1587677,12.876,1607846,-2.35567,
1587678,12.8797,1607862,-1.92601,
1587679,12.8834,1607883,-1.35887,
1587680,12.887,1607896,-1.0064,
